Drug Name,Resolution Date,Indication,Comparator Therapy,Benefit Assessment,Mortality Difference,Morbidity,Quality of Life,Side Effects,Total Adverse Events,Serious Adverse Events (SAEs),Severe Adverse Events,Patient Group,Annual Therapy Costs,Annual Comparitive Therapy Costs,Adverse Event Discontinuation,Combination Therapy,Serious Adverse Events,Response Rates
Cabazitaxel_Banz,29-Mar-12,metastatic prostate cancer,"Palliative treatment with dexamethasone, prednisone, or methylprednisolone as well as best supportive care (e.g. adequate pain therapy) for patients with hormone-refractory metastatic prostate cancer who have progressed during or after docetaxel-containing chemotherapy and for whom retreatment with docetaxel is no longer an option. Docetaxel in combination with prednisone or prednisolone (docetaxel retreatment) for patients who have progressed after docetaxel-containing chemotherapy but are still candidates for adequate docetaxel-containing chemotherapy.",Unproven additional benefit compared to docetaxel retherapy; small additional benefit compared with Best Supportive Care.,0.24,0.24,0.658,Neutropenia degree,0.001,0.001,0.001,5670,80644.46,80644.46,18.3,Monotherapy,39.10%,0.00%
Vemurafenib,6-Sep-12,metastatic melanoma,Dacarbazine,Indication of significant added value.,0.33,0,0.235,"nausea, diarrhea, vomiting, constipation, Musculoskeletal, arthralgia, headaches, rash, alopecia, photosensitivity reactions, pruritus, hyperkeratosis, Metabolic and nutritional disorders, neutropenia, anemia, thrombocytopenia).",0.33,0.001,0.001,1400,131220.12,4180.3,5.7,Monotherapy,0.50%,50%
Pertuzumab_Banz,1-Oct-13,HER2-positive metastatic breast cancer,"Trastuzumab in combination with a taxane (paclitaxel, docetaxel) for HER2-positive metastatic breast cancer; radiotherapy for HER2-positive locally recurrent, inoperable breast cancer.","An additional benefit is not considered to be proven compared to radiotherapy. There is evidence of significant additional benefit compared with trastuzumab in combination with a taxane (paclitaxel, docetaxel). However, there is no evidence of any additional benefit compared with trastuzumab in combination with a taxane (paclitaxel, docetaxel).",0.66,0.191,0,"Leukopenia, Diarrhea",0.029,0.125,0.97,5120,60656.4,60656.4,30.6,Combination with trastuzumab and docetaxel,36.30%,0%
Vismodegib,6-Feb-14,symptomatic metastatic basal cell carcinoma,Best Supportive Care,Evidence of little additional benefit compared to best supportive care.,0,0,0.12," nausea, diarrhea; Hair loss",0,0.155,0.001,295,113172,"113172.44",15.5,Monotherapy,56.30%,42.30%
Vemurafenib,6-Mar-14,metastatic melanoma,Dacarbazine.,Indication of significant added value.,0.79,0,0.56,"Gastrointestinal tract, rash, Alopecia, Photo-sensitivity, Headache",0.002,0.001,0.66,1400,94069.36,4443.12,6,Monotherapy,33%,0.00%
Trastuzumab-Emtansin,19-Jun-14,"metastatic breast cancer after prior therapy containing anthracyclines, taxanes, and trastuzumab.","Lapatinib; Patient-specific, optimized therapy according to the doctor's instructions; Radiotherapy (for patients who are candidates for radiotherapy); Patient-specific therapy taking into account the relevant approvals of the active substances used; CMF protocol (modified); 5-Fluorouracil; CMF protocol (classic); Trastuzumab; Doxorubicin.","The additional benefit in relation to the appropriate comparator therapy is deemed not to be proven for both subpopulations (patients with HER2-positive metastatic breast cancer after prior therapy containing anthracyclines, taxanes, and trastuzumab, and patients without anthracyclines).",0.72,0.21,0.21,"Bleeding , anemia, neutropenia, thrombocytopenia, Diarrhea",0,0.97,0.744,5120,105881.44,2027.86,7,Monotherapy,19.00%,33.00%
Eribulin,22-Jan-15,HER2-positive breast cancer,"monotherapy with capecitabine, vinorelbine; anthracycline- or taxane- containing therapy; anthracycline- or taxane- containing therapy; anthracycline- or taxane- containing therapy; lapatinib in combination with capecitabine or lapatinib in combination with trastuzumab.","Evidence of significant additional benefit compared with monotherapy with capecitabine, vinorelbine.",0.36,0,-0.197,None,0,0.77,0.433,7600,"3897046",2122.48,0.67,Monotherapy,14.30%,0.00%
Vismodegib_D,4-Aug-16,symptomatic metastatic basal cell carcinoma,"Best supportive care, possibly including surgery or radiotherapy.",There is no evidence of any additional benefit for adult patients with symptomatic metastatic basal cell carcinoma. There is evidence of little additional benefit for adult patients with locally advanced basal cell carcinoma for whom neither surgery nor radiotherapy is suitable.,0,0,-0.19,"nausea, diarrhea, constipation",0.002,0.262,0.001,280,68003,80,15.5,Monotherapy,26.20%,38.00%
Afatinib_D,20-Oct-16, metastatic NSCLC,Docetaxel for patients for whom docetaxel therapy is indicated; Best Supportive Care for patients for whom docetaxel therapy is not indicated.,An additional benefit is not proven compared with docetaxel for patients with locally advanced and/or metastatic squamous NSCLC with progression during or after platinum-based chemotherapy for whom docetaxel therapy is indicated. An additional benefit is also not proven compared with best supportive care for patients for whom docetaxel therapy is not indicated.,0,0,0,None,,0,0.001,12420,35023.32,22596,5.2,Monotherapy,0.00%,0.00%
Palbociclib_D,18-May-17, metastatic breast cancer,"Tamoxifen, Anastrozole, Letrozole, Fulvestrant, Exemestane, Everolimus in combination with exemestane (only for patients without symptomatic visceral metastases after progression after a non-steroidal aromatase inhibitor).",Additional benefit is not proven for both pre-/perimenopausal and postmenopausal patients with progression after a previous endocrine therapy. There are no data available to assess the additional benefit for pre-/perimenopausal patients in first-line therapy.,0,0.58,0.741,"Diarrhea, nausea, vomiting, general disorders and administration site conditions, headache, syncope, thrombocytopenia, heart disease, eye diseases, pneumonia, urinary tract infection, asthenia, fatigue, general deterioration of physical health, infections and parasitic diseases.",0.002,0.196,0.001,70550,66527.76,66527.76,5.4,Combination therapy,19.60%,80%
Venetoclax_D-266,15-Jun-17,Chronic Lymphocytic Leukemia (CLL),The appropriate comparator therapy is not explicitly mentioned in the provided context.,Non-quantifiable additional benefit for adult patients with CLL who have a 17p deletion or TP53 mutation and who are not suitable for treatment with a B cell receptor pathway inhibitor or who have demonstrated treatment failure. Non-quantifiable additional benefit for adult patients with CLL without a 17p deletion or TP53 mutation who have experienced treatment failure with both chemo-immunotherapy and a B-cell receptor pathway inhibitor.,71,0.272,0.86,"Neutropenia, Infections, SUE, Tumor lysis syndrome.",0.753,0.12,0.75,540,96831.54,96831.54,23.4,Monotherapy,12.00%,71.60%
Vandetanib_D-270,6-Jul-17,medullary thyroid carcinoma,Best Supportive Care,Evidence of a non-quantifiable added benefit based on the extrapolation of evidence to a pediatric population; comparative data for the pediatric population are not available.,0.1,0.28,0.284,"QTc prolongation, Diarrhea",0.946,0.67,0.81,8,54712.2,"3434.87",0,Monotherapy,6.30%,6.30%
Alectinib_D-281,19-Oct-17,lung cancer,Docetaxel or Pemetrexed or Ceritinib for patients eligible for treatment; Best Supportive Care for patients who are not candidates for treatment with docetaxel or pemetrexed or ceritinib.,Evidence of little additional benefit compared with docetaxel or pemetrexed for patients eligible for treatment with these therapies. There is no evidence of any additional benefit for patients who are not candidates for treatment with docetaxel or pemetrexed or ceritinib.,0,0.55,0.51, Diarrhea,0.002,0.89,0.36,1060,103581.39,70668.02,70,Monotherapy,18.60%,0.00%
Telotristatethyl_D-318,5-Apr-18,carcinoid syndrome diarrhoea,Somatostatin analogue (SSA) therapy.,Not quantifiable,0,0,0,"Gastrointestinal disorders, Nausea, Abdominal pain, Diarrhea, Constipation, Metabolic and nutritional disorders, General disorders and administration site conditions, Urinary tract infection, Musculoskeletal, connective tissue and bone diseases, Diseases of the nervous system, Dizziness",0.44,0.178,0.001,1000,27223.04,51633.63,13.3,Monotherapy,0.00%,84.40%
Alectinib_D-326,21-Jun-18,non-small cell lung cancer,Crizotinib,Evidence of a non-quantifiable additional benefit compared with crizotinib.,0.582,0.241,0.72,Diseases of the gastrointestinal tract,0.183,0.001,0.001,850,103533,66946.23,9,Monotherapy,0.00%,0%
